type,uri,dc.id,collection,notation,"prefLabel",altLabel,broader,broaderTransitive,broadMatch,changeNote,closeMatch,definition,editorialNote,exactMatch,example,hiddenLabel,historyNote,inScheme,mappingRelation,note,related,relatedMatch,scopeNote,semanticRelation,topConceptOf,type_status,layer,typevoorschrift,typevoorschriften.uitdovend
skos:Collection,colt:voorschrift_subcategorie,voorschrift_subcategorie,,,"Voorschrift subcategorie",,,,,,,,,,,,,,,,,,,,,,,,
skos:Collection,colt:voorschrift_categorie,voorschrift_categorie,,,"Voorschrift categorie",,,,,,,,,,,,,,,,,,,,,,,,
skos:ConceptScheme,cs:plan_legende,plan_legende,,,"Legendecodes",,,,,,,,,,,,,,,,,,,,,,,,
skos:Concept,ct:00000_00,,,00000_00,"onzichtbare afbakeningslijn (voor identificeerbaarheid)",,ct:000,,,,,,,,,,,cs:plan_legende,,,,,,,,,ov,ONWAAR,ONWAAR
skos:Concept,ct:00000_01,,,00000_01,"onzichtbare afbakeningslijn (voor identificeerbaarheid)",,ct:000,,,,,,,,,,,cs:plan_legende,,,,,,,,,ln,ONWAAR,ONWAAR
skos:Concept,ct:00100_00,,,00100_00,"wijziging afbakeningslijnen",,ct:001,,,,,,,,,,,cs:plan_legende,,,,,,,,,,ONWAAR,ONWAAR
skos:Concept,ct:00101_00,,,00101_00,"grenslijn Vlaams stedelijk gebied rond Brussel",,ct:001,,,,,,,,,,,cs:plan_legende,,,,,,,,/,ov,ONWAAR,ONWAAR
skos:Concept,ct:00102_00,,,00102_00,"opheffing afbakening stedelijk gebied",,ct:001,,,,,,,,,,,cs:plan_legende,,,,,,,,,ov,ONWAAR,ONWAAR
skos:Concept,ct:00103_01,,,00103_01,"grenslijn grootstedelijk gebied",,ct:001,,,,,,,,,,,cs:plan_legende,,,,,,,,/,ov,WAAR,ONWAAR
skos:Concept,ct:00103_00,,,00103_00,"grenslijn grootstedelijk gebied",,ct:001,,,,,,,,,,,cs:plan_legende,,,,,,,,/,ov,WAAR,ONWAAR
